Rank: 0, Name: SuperStormSmith, Trophies: 2223
Rank: 1, Name: Jmuts, Trophies: 2222
Rank: 2, Name: Jnut, Trophies: 2221
Rank: 3, Name: DarkHelix, Trophies: 2213
Rank: 4, Name: Agie, Trophies: 2200
Rank: 5, Name: Waterfall38, Trophies: 2182
Rank: 6, Name: Kalou, Trophies: 2170
Rank: 7, Name: Jnuts, Trophies: 2138
Rank: 8, Name: AnkokuOppai, Trophies: 2115
Rank: 9, Name: startadeadhorse, Trophies: 2102
Rank: 10, Name: DivanNya, Trophies: 2100
Rank: 11, Name: kattan, Trophies: 2090
Rank: 12, Name: jsx97, Trophies: 2018
Rank: 13, Name: jflawiefer, Trophies: 2017
Rank: 14, Name: sabu, Trophies: 2012
Rank: 15, Name: Loco422, Trophies: 2010
Rank: 16, Name: Jnutts, Trophies: 2010
Rank: 17, Name: kayede, Trophies: 1995
Rank: 18, Name: Qwerty0404, Trophies: 1988
Rank: 19, Name: Purveyor, Trophies: 1985
Rank: 20, Name: Ryu, Trophies: 1969
Rank: 21, Name: Ebenmaw, Trophies: 1969
Rank: 22, Name: Xinchan, Trophies: 1968
Rank: 23, Name: nefanefa, Trophies: 1962
Rank: 24, Name: Fra, Trophies: 1952
Rank: 25, Name: TayoPayo5369, Trophies: 1940
Rank: 26, Name: warced, Trophies: 1935
Rank: 27, Name: Crissaegrim, Trophies: 1934
Rank: 28, Name: JayNaughts, Trophies: 1920
Rank: 29, Name: muchas, Trophies: 1916
Rank: 30, Name: Marvin, Trophies: 1915
Rank: 31, Name: Boristherussian, Trophies: 1907
Rank: 32, Name: niliva, Trophies: 1901
Rank: 33, Name: DonSatorie, Trophies: 1897
Rank: 34, Name: Alyra, Trophies: 1891
Rank: 35, Name: gartak, Trophies: 1879
Rank: 36, Name: Dinuko, Trophies: 1878
Rank: 37, Name: avalanche7, Trophies: 1875
Rank: 38, Name: SeaL, Trophies: 1865
Rank: 39, Name: Lucardio, Trophies: 1862
Rank: 40, Name: lebenou83, Trophies: 1855
Rank: 41, Name: Beast911, Trophies: 1852
Rank: 42, Name: metareq, Trophies: 1851
Rank: 43, Name: Falsestar, Trophies: 1851
Rank: 44, Name: Cheat22, Trophies: 1848
Rank: 45, Name: Kamoth, Trophies: 1839
Rank: 46, Name: Catbac, Trophies: 1837
Rank: 47, Name: Blizzardus, Trophies: 1836
Rank: 48, Name: yartil, Trophies: 1834
Rank: 49, Name: maji, Trophies: 1828
Rank: 50, Name: Dante1996, Trophies: 1827
Rank: 51, Name: FrogB, Trophies: 1824
Rank: 52, Name: Fierwolf, Trophies: 1819
Rank: 53, Name: Copesetic, Trophies: 1816
Rank: 54, Name: futanari, Trophies: 1815
Rank: 55, Name: phot, Trophies: 1811
Rank: 56, Name: KingFurry, Trophies: 1810
Rank: 57, Name: EliasDrake, Trophies: 1806
Rank: 58, Name: Avastor, Trophies: 1798
Rank: 59, Name: 4444ehre, Trophies: 1792
Rank: 60, Name: hepha, Trophies: 1791
Rank: 61, Name: Avenger, Trophies: 1784
Rank: 62, Name: off717, Trophies: 1782
Rank: 63, Name: Aqape, Trophies: 1780
Rank: 64, Name: Toesti, Trophies: 1772
Rank: 65, Name: AltileryX, Trophies: 1770
Rank: 66, Name: Shinesman, Trophies: 1767
Rank: 67, Name: Kromm69, Trophies: 1764
Rank: 68, Name: Needstobe, Trophies: 1761
Rank: 69, Name: Cerria, Trophies: 1759
Rank: 70, Name: SmilingJack, Trophies: 1757
Rank: 71, Name: Valkrie, Trophies: 1757
Rank: 72, Name: Big Chungus, Trophies: 1756
Rank: 73, Name: chuckles, Trophies: 1755
Rank: 74, Name: Demon7, Trophies: 1753
Rank: 75, Name: Alfred, Trophies: 1750
Rank: 76, Name: waying, Trophies: 1749
Rank: 77, Name: wolfdarkness, Trophies: 1747
Rank: 78, Name: MaxWaifus, Trophies: 1746
Rank: 79, Name: Fuckfucker, Trophies: 1743
Rank: 80, Name: Youareaperson99, Trophies: 1741
Rank: 81, Name: Aindras, Trophies: 1740
Rank: 82, Name: Lusiphe666, Trophies: 1738
Rank: 83, Name: egopali, Trophies: 1738
Rank: 84, Name: AbatAnon, Trophies: 1737
Rank: 85, Name: Fenchurch, Trophies: 1736
Rank: 86, Name: Bahz, Trophies: 1734
Rank: 87, Name: Rude, Trophies: 1731
Rank: 88, Name: MyUserName, Trophies: 1728
Rank: 89, Name: DiscordDo, Trophies: 1727
Rank: 90, Name: FeelGoodPain, Trophies: 1726
Rank: 91, Name: Bazsi, Trophies: 1724
Rank: 92, Name: Max Payne, Trophies: 1719
Rank: 93, Name: Akasaka, Trophies: 1719
Rank: 94, Name: LuciferDA, Trophies: 1712
Rank: 95, Name: tizero, Trophies: 1709
Rank: 96, Name: Ravenvvv, Trophies: 1706
Rank: 97, Name: bezet, Trophies: 1705
Rank: 98, Name: countdoom, Trophies: 1701
Rank: 99, Name: sseshess, Trophies: 1694
